areaType,areaName,areaCode,date,newVaccinesGivenByPublishDate,cumVaccinesGivenByPublishDate,newPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
overview,United Kingdom,K02000001,2021-05-25,574134,61995062,186147,38378564,387987,23616498
overview,United Kingdom,K02000001,2021-05-24,455334,61420928,122379,38192417,332955,23228511
overview,United Kingdom,K02000001,2021-05-23,378496,60965594,126357,38070038,252139,22895556
overview,United Kingdom,K02000001,2021-05-22,762361,60587098,205410,37943681,556951,22643417
overview,United Kingdom,K02000001,2021-05-21,646340,59824737,219657,37738271,426683,22086466
overview,United Kingdom,K02000001,2021-05-20,688563,59178397,268251,37518614,420312,21659783
overview,United Kingdom,K02000001,2021-05-19,633876,58489834,264858,37250363,369018,21239471
overview,United Kingdom,K02000001,2021-05-18,498101,57855958,174100,36985505,324001,20870453
overview,United Kingdom,K02000001,2021-05-17,365782,57357857,106733,36811405,259049,20546452
overview,United Kingdom,K02000001,2021-05-16,315063,56992075,131318,36704672,183745,20287403
overview,United Kingdom,K02000001,2021-05-15,628577,56677012,237331,36573354,391246,20103658
overview,United Kingdom,K02000001,2021-05-14,613470,56048435,220068,36336023,393402,19712412
overview,United Kingdom,K02000001,2021-05-13,637325,55434965,209284,36115955,428041,19319010
overview,United Kingdom,K02000001,2021-05-12,636647,54797640,184210,35906671,452437,18890969
overview,United Kingdom,K02000001,2021-05-11,485260,54160993,135113,35722461,350147,18438532
overview,United Kingdom,K02000001,2021-05-10,346888,53675733,115053,35587348,231835,18088385
overview,United Kingdom,K02000001,2021-05-09,287797,53328845,100626,35472295,187171,17856550
overview,United Kingdom,K02000001,2021-05-08,607864,53041048,169027,35371669,438837,17669379
overview,United Kingdom,K02000001,2021-05-07,598823,52433184,133001,35202642,465822,17230542
overview,United Kingdom,K02000001,2021-05-06,608471,51834361,135470,35069641,473001,16764720
overview,United Kingdom,K02000001,2021-05-05,543323,51225890,139097,34934171,404226,16291719
overview,United Kingdom,K02000001,2021-05-04,384656,50682567,127170,34795074,257486,15887493
overview,United Kingdom,K02000001,2021-05-03,200099,50297911,72600,34667904,127499,15630007
overview,United Kingdom,K02000001,2021-05-02,262815,50097812,89924,34595304,172891,15502508
overview,United Kingdom,K02000001,2021-05-01,515479,49834997,143175,34505380,372304,15329617
overview,United Kingdom,K02000001,2021-04-30,567374,49319518,145589,34362205,421785,14957313
overview,United Kingdom,K02000001,2021-04-29,614135,48752144,122568,34216616,491567,14535528
overview,United Kingdom,K02000001,2021-04-28,597025,48138009,134140,34094048,462885,14043961
overview,United Kingdom,K02000001,2021-04-27,495593,47540984,116328,33959908,379265,13581076
overview,United Kingdom,K02000001,2021-04-26,395383,47045391,90695,33843580,304688,13201811
overview,United Kingdom,K02000001,2021-04-25,340496,46650008,79695,33752885,260801,12897123
overview,United Kingdom,K02000001,2021-04-24,696403,46309512,148767,33673190,547636,12636322
overview,United Kingdom,K02000001,2021-04-23,600801,45613109,135786,33524423,465015,12088686
overview,United Kingdom,K02000001,2021-04-22,562056,45012308,130986,33388637,431070,11623671
overview,United Kingdom,K02000001,2021-04-21,534693,44450252,117909,33257651,416784,11192601
overview,United Kingdom,K02000001,2021-04-20,457649,43915559,107622,33139742,350027,10775817
overview,United Kingdom,K02000001,2021-04-19,373423,43457910,99672,33032120,273751,10425790
overview,United Kingdom,K02000001,2021-04-18,304418,43084487,83225,32932448,221193,10152039
overview,United Kingdom,K02000001,2021-04-17,639080,42780069,139445,32849223,499635,9930846
overview,United Kingdom,K02000001,2021-04-16,635221,42140989,135557,32709778,499664,9431211
overview,United Kingdom,K02000001,2021-04-15,547465,41505768,129782,32574221,417683,8931547
overview,United Kingdom,K02000001,2021-04-14,461618,40958303,117835,32444439,343783,8513864
overview,United Kingdom,K02000001,2021-04-13,388808,40496685,76123,32326604,312685,8170081
overview,United Kingdom,K02000001,2021-04-12,261096,40107877,59905,32250481,201191,7857396
